state_id,state,fatal,serious,minor,total_cases,number_injured,number_killed,total_casualty,people_involved,period,state_tokens_acc,period_tokens_acc,cases_check_ok,id,speed_violation,unknown_causes,tyre_burst,mechanically_defective_vehicle,brake_failure,overloading,dangerous_overtaking,route_obstruction,dangerous_driving,bad_road,road_traffic_violation,obstruction,sign_and_signal_violation,: driver_alcohol_and_drugs,poor_weather,fatigue,sleeping_while_driving,state_tokens_cau,period_tokens_cau,total_causes_recorded
29,ondo,49,56,9,114,320,84,404,899,q4 2020,['ondo'],"['q4', '2020']",True,29.0,107,0,7,3,3,0,0,14,13,1,4,1,1,0,0,1,0,['ondo'],"['q4', '2020']",155
30,osun,34,65,10,109,292,52,344,711,q4 2020,['osun'],"['q4', '2020']",True,30.0,93,0,11,5,3,2,0,8,10,2,7,1,1,0,0,0,0,['osun'],"['q4', '2020']",143
31,oyo,41,89,25,155,385,68,453,1120,q4 2020,['oyo'],"['q4', '2020']",True,31.0,128,1,15,5,14,1,0,14,18,1,6,0,2,0,0,4,0,['oyo'],"['q4', '2020']",209
32,plateau,8,20,17,45,123,17,140,255,q4 2020,['plateau'],"['q4', '2020']",True,32.0,18,0,2,3,9,0,0,3,7,0,0,0,0,2,0,0,1,['plateau'],"['q4', '2020']",45
33,rivers,3,18,4,25,77,6,83,194,q4 2020,['rivers'],"['q4', '2020']",True,33.0,19,0,2,1,3,0,0,0,0,0,2,0,0,0,0,0,2,['rivers'],"['q4', '2020']",29
34,sokoto,12,20,0,32,138,47,185,228,q4 2020,['sokoto'],"['q4', '2020']",True,34.0,49,0,0,0,0,2,0,2,2,0,1,4,0,0,0,0,0,['sokoto'],"['q4', '2020']",60
35,taraba,5,53,1,59,149,7,156,284,q4 2020,['taraba'],"['q4', '2020']",True,35.0,57,0,2,1,0,1,0,4,7,0,3,0,5,0,0,0,12,['taraba'],"['q4', '2020']",92
36,yobe,24,30,2,56,383,60,443,602,q4 2020,['yobe'],"['q4', '2020']",True,36.0,28,0,9,1,0,2,0,7,5,0,1,0,0,0,0,0,0,['yobe'],"['q4', '2020']",53
37,zamfara,18,37,0,55,252,40,292,475,q4 2020,['zamfara'],"['q4', '2020']",True,37.0,40,0,2,1,0,5,2,6,0,1,2,0,0,0,0,0,1,['zamfara'],"['q4', '2020']",60
38,abia,16,23,5,44,119,35,154,289,q1 2021,['abia'],"['q1', '2021']",True,38.0,7,0,10,1,4,0,0,3,0,0,3,0,0,0,0,0,7,['abia'],"['q1', '2021']",35
39,adamawa,11,73,0,84,251,21,272,437,q1 2021,['adamawa'],"['q1', '2021']",True,39.0,60,0,7,0,0,4,0,16,0,0,5,14,1,0,0,0,3,['adamawa'],"['q1', '2021']",110
40,akwa ibom,7,12,3,22,35,12,47,117,q1 2021,"['akwa', 'ibom']","['q1', '2021']",True,40.0,15,0,0,0,3,0,0,2,1,0,1,0,0,0,0,0,2,"['akwa', 'ibom']","['q1', '2021']",24
41,anambra,9,55,16,80,147,9,156,575,q1 2021,['anambra'],"['q1', '2021']",True,41.0,59,0,6,1,21,0,0,6,1,0,4,1,0,0,0,0,9,['anambra'],"['q1', '2021']",108
42,bauchi,52,78,1,131,634,115,749,1138,q1 2021,['bauchi'],"['q1', '2021']",True,42.0,77,0,16,3,0,0,1,18,15,1,4,2,1,0,0,0,14,['bauchi'],"['q1', '2021']",152
43,bayelsa,0,6,1,7,15,0,15,29,q1 2021,['bayelsa'],"['q1', '2021']",True,43.0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,['bayelsa'],"['q1', '2021']",9
44,benue,10,27,15,52,123,15,138,187,q1 2021,['benue'],"['q1', '2021']",True,44.0,46,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,['benue'],"['q1', '2021']",51
45,borno,8,23,0,31,78,24,102,149,q1 2021,['borno'],"['q1', '2021']",True,45.0,31,0,3,0,0,0,0,2,5,0,2,1,0,0,0,0,2,['borno'],"['q1', '2021']",46
46,cross river,12,13,0,25,50,30,80,135,q1 2021,"['cross', 'river']","['q1', '2021']",True,46.0,17,0,0,2,2,0,0,5,3,0,0,0,0,0,0,0,0,"['cross', 'river']","['q1', '2021']",29
47,delta,21,39,11,71,196,51,247,482,q1 2021,['delta'],"['q1', '2021']",True,47.0,68,1,6,2,7,0,0,5,3,0,2,0,0,0,0,0,11,['delta'],"['q1', '2021']",105
48,ebonyi,10,19,2,31,121,27,148,274,q1 2021,['ebonyi'],"['q1', '2021']",True,48.0,13,0,6,0,0,0,0,5,0,0,2,0,0,0,0,0,6,['ebonyi'],"['q1', '2021']",32
49,edo,20,30,6,56,140,51,191,386,q1 2021,['edo'],"['q1', '2021']",True,49.0,68,0,2,1,2,0,0,5,4,0,6,0,0,0,0,0,0,['edo'],"['q1', '2021']",88
50,ekiti,10,19,2,31,101,13,114,175,q1 2021,['ekiti'],"['q1', '2021']",True,50.0,29,0,1,1,4,0,0,1,0,0,0,0,0,1,0,0,4,['ekiti'],"['q1', '2021']",41
51,enugu,24,36,6,66,222,37,259,505,q1 2021,['enugu'],"['q1', '2021']",True,51.0,3,0,4,3,7,0,0,5,7,0,5,0,0,0,0,0,41,['enugu'],"['q1', '2021']",75
52,fct,41,177,60,278,518,56,574,1289,q1 2021,['fct'],"['q1', '2021']",True,52.0,158,0,17,4,7,2,0,1,36,0,34,1,0,1,0,0,125,['fct'],"['q1', '2021']",386
53,gombe,11,59,2,72,232,31,263,388,q1 2021,['gombe'],"['q1', '2021']",True,53.0,33,0,9,7,2,3,0,2,11,0,4,2,0,0,0,0,9,['gombe'],"['q1', '2021']",82
54,imo,7,7,2,16,71,17,88,116,q1 2021,['imo'],"['q1', '2021']",True,54.0,5,0,3,1,2,0,0,3,0,0,0,0,0,0,0,0,2,['imo'],"['q1', '2021']",16
55,jigawa,15,50,2,67,264,35,299,443,q1 2021,['jigawa'],"['q1', '2021']",True,55.0,82,1,7,1,0,12,0,6,6,0,5,7,0,0,0,1,4,['jigawa'],"['q1', '2021']",132
56,kaduna,104,147,5,256,1149,196,1345,2151,q1 2021,['kaduna'],"['q1', '2021']",True,56.0,211,1,22,4,5,0,0,30,12,3,16,2,3,0,0,7,48,['kaduna'],"['q1', '2021']",364
57,kano,33,100,4,137,604,100,704,1013,q1 2021,['kano'],"['q1', '2021']",True,57.0,110,1,8,0,1,2,4,17,6,1,12,2,0,0,0,3,17,['kano'],"['q1', '2021']",184
58,katsina,19,52,0,71,287,29,316,469,q1 2021,['katsina'],"['q1', '2021']",True,58.0,74,0,2,0,3,0,0,3,7,0,2,0,0,0,0,0,1,['katsina'],"['q1', '2021']",92
59,kebbi,13,31,0,44,139,21,160,263,q1 2021,['kebbi'],"['q1', '2021']",True,59.0,38,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,['kebbi'],"['q1', '2021']",47
60,kogi,38,83,22,143,425,94,519,1361,q1 2021,['kogi'],"['q1', '2021']",True,60.0,105,0,8,5,10,0,0,19,6,0,11,9,4,1,0,0,35,['kogi'],"['q1', '2021']",213
61,kwara,25,62,13,100,369,69,438,680,q1 2021,['kwara'],"['q1', '2021']",True,61.0,91,0,5,6,1,1,1,17,2,0,0,0,0,0,0,0,32,['kwara'],"['q1', '2021']",156
62,lagos,23,73,55,151,243,26,269,709,q1 2021,['lagos'],"['q1', '2021']",True,62.0,85,0,2,16,13,0,0,12,8,3,6,0,0,0,0,2,0,['lagos'],"['q1', '2021']",147
63,nasarawa,37,100,39,176,452,77,529,931,q1 2021,['nasarawa'],"['q1', '2021']",True,63.0,75,0,8,9,3,0,0,10,34,1,11,0,0,1,0,1,34,['nasarawa'],"['q1', '2021']",187
64,niger,25,82,1,108,492,93,585,809,q1 2021,['niger'],"['q1', '2021']",True,64.0,128,0,1,4,4,2,0,11,8,0,7,1,0,0,0,2,2,['niger'],"['q1', '2021']",170
65,ogun,58,173,68,299,670,82,752,1908,q1 2021,['ogun'],"['q1', '2021']",True,65.0,270,0,20,25,23,6,1,18,8,10,11,4,3,0,0,0,4,['ogun'],"['q1', '2021']",403
66,ondo,32,76,7,115,290,43,333,752,q1 2021,['ondo'],"['q1', '2021']",True,66.0,96,0,8,3,9,0,1,14,12,3,4,0,0,0,0,2,0,['ondo'],"['q1', '2021']",152
67,osun,22,72,11,105,317,43,360,749,q1 2021,['osun'],"['q1', '2021']",True,67.0,78,0,11,6,8,0,2,7,10,2,2,2,1,0,0,3,0,['osun'],"['q1', '2021']",132
68,oyo,56,107,13,176,399,103,502,1169,q1 2021,['oyo'],"['q1', '2021']",True,68.0,129,0,14,7,19,1,2,19,17,5,4,2,0,0,2,1,0,['oyo'],"['q1', '2021']",222
69,plateau,10,25,13,48,130,15,145,251,q1 2021,['plateau'],"['q1', '2021']",True,69.0,15,0,1,3,7,1,0,4,9,0,0,1,0,0,0,0,1,['plateau'],"['q1', '2021']",42
70,rivers,3,16,2,21,54,4,58,118,q1 2021,['rivers'],"['q1', '2021']",True,70.0,12,0,4,0,0,0,0,2,0,0,1,0,0,0,0,0,1,['rivers'],"['q1', '2021']",20
