id,state,period,speed_violation,unknown_causes,tyre_burst,mechanically_defective_vehicle,brake_failure,overloading,dangerous_overtaking,route_obstruction,dangerous_driving,bad_road,road_traffic_violation,obstruction,sign_and_signal_violation,: driver_alcohol_and_drugs,poor_weather,fatigue,sleeping_while_driving,state_tokens,period_tokens,total_causes_recorded
108.0,sokoto,q2 2021,35,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,['sokoto'],"['q2', '2021']",39
109.0,taraba,q2 2021,28,0,1,0,0,3,0,2,21,0,1,0,0,0,0,0,21,['taraba'],"['q2', '2021']",77
110.0,yobe,q2 2021,24,0,11,0,0,0,0,6,6,0,0,0,0,0,0,0,0,['yobe'],"['q2', '2021']",47
111.0,zamfara,q2 2021,35,1,5,0,0,2,0,5,0,0,4,1,0,0,0,0,3,['zamfara'],"['q2', '2021']",56
112.0,abia,q3 2021,4,0,5,0,5,0,0,4,2,0,3,0,0,1,0,0,0,['abia'],"['q3', '2021']",24
113.0,adamawa,q3 2021,66,0,2,1,0,0,0,15,1,0,4,6,0,0,0,0,0,['adamawa'],"['q3', '2021']",95
114.0,akwa ibom,q3 2021,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"['akwa', 'ibom']","['q3', '2021']",14
115.0,anambra,q3 2021,20,0,4,1,32,0,0,5,1,0,9,56,0,3,0,0,3,['anambra'],"['q3', '2021']",134
116.0,bauchi,q3 2021,69,0,7,7,0,2,1,15,6,1,8,0,4,0,1,0,5,['bauchi'],"['q3', '2021']",126
117.0,bayelsa,q3 2021,16,0,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,['bayelsa'],"['q3', '2021']",22
118.0,benue,q3 2021,37,0,0,0,1,0,0,2,7,0,0,0,0,1,0,0,0,['benue'],"['q3', '2021']",48
119.0,borno,q3 2021,9,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,['borno'],"['q3', '2021']",16
120.0,cross river,q3 2021,24,0,5,1,1,0,0,7,0,0,0,0,0,0,0,1,0,"['cross', 'river']","['q3', '2021']",39
121.0,delta,q3 2021,30,0,2,4,2,0,2,3,0,0,6,0,2,0,0,0,15,['delta'],"['q3', '2021']",66
122.0,ebonyi,q3 2021,19,0,4,2,0,0,0,4,0,0,1,0,0,0,0,0,0,['ebonyi'],"['q3', '2021']",30
123.0,edo,q3 2021,68,0,2,3,7,0,0,11,1,0,0,0,0,0,0,0,5,['edo'],"['q3', '2021']",97
124.0,ekiti,q3 2021,30,0,0,0,6,0,0,3,2,3,1,0,0,1,0,0,14,['ekiti'],"['q3', '2021']",60
125.0,enugu,q3 2021,45,0,6,1,21,0,0,7,2,0,1,0,0,0,0,0,17,['enugu'],"['q3', '2021']",100
126.0,fct,q3 2021,260,0,12,0,3,2,0,5,19,1,25,4,0,0,0,2,87,['fct'],"['q3', '2021']",420
127.0,gombe,q3 2021,38,3,5,1,1,0,0,7,8,0,3,5,0,1,0,0,11,['gombe'],"['q3', '2021']",83
128.0,imo,q3 2021,10,0,2,1,4,0,0,3,3,0,2,0,0,1,0,0,1,['imo'],"['q3', '2021']",27
129.0,jigawa,q3 2021,89,0,8,1,0,7,1,3,2,0,8,5,0,0,2,0,6,['jigawa'],"['q3', '2021']",132
